 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дата,день недели,ЕГЭ/ОГЭ и др.,8-1,9-1,9-2,9-3,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10,11-11,11-12,дата,день недели
21 декабря,вс,,Математика У 4.12,,,,,,Мат.У 2.10,,Мат У 3.13,,,,Мат.у 3.14,,,Мат П 1.3,,,Мат У 2.3,,,Мат.у 2.5,Мат П 1.3,,,21 декабря,вс
22 декабря,пн,,Математика У 4.12,Конс. физ. 12:30 1.2,,,"Мат П 2.10, 2.4",,Конс.физ. 18:00 4.9,Конс. физ. 9:00. 1.2,,Мат У 3.14,,,Конс. физ. 9:00. 1.2,,,,Мат.у 2.5,Мат У 2.3,,Физ. конс. 16:00 5.6,,,,,,22 декабря,пн
23 декабря,вт,,Конс.хим. 10:00 2.3,Физика П 1.3,,,,,,,Конс. физ. 1.2 12:30 ,,Физ П 5.6,,,"Физ 4.12, 4.13",,Конс. мат. 18:00 1.3,Конс.физ. 15:00 1.2,,,"Физ П 3.13, 3.14, 3.10",,Конс.физ. 15:00 1.2,Конс. мат. 18:00 1.3,,,23 декабря,вт
24 декабря,ср,,,,,Конс. Хим. 16:00 3.13,Конс. мат. 11:00 1.2 ,,Физика П 5.6,Физика П 1.3,Физ У 4.9,,,,Физика П 1.3,,,Мат У 4.12,,Конс физ. 3.13 9:00,,"Кон.физ. 414, 12:00 4.6",,Физ У 3.10,Мат У 4.12,,,24 декабря,ср
25 декабря,чт,,Химия КР 4.13,,Физика У 2.10,Химия П 4.12,Мат У 2.5,,,,,ФизУ 4.9,Физ У 5.6,,,,,,Физ У 3.10,"Физ П 1.3, 2.4",,Физ У 3.13,,,,,,25 декабря,чт
26 декабря,пт,,,Физика У 2.10,,,,Мат У 2.10,,,,,,Физ У 5.6,,Физ У 1.3,Физ У 1.3,,,Апелляция 12:00 4.7,,,Физ У 3.13,,,,,26 декабря,пт
27 декабря,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,27 декабря,сб
28 декабря,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,28 декабря,вс
29 декабря,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,29 декабря,пн
30 декабря,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,30 декабря,вт
31 декабря,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,31 декабря,ср
1 января,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,1 января,чт
2 января,пт,,,,,,,,,,,,,,,,,,,,,,,,,,,2 января,пт
3 января,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,3 января,сб
4 января,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,4 января,вс
5 января,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,5 января,пн
6 января,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,6 января,вт
7 января,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,7 января,ср
8 января,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,8 января,чт
9 января,пт,,,,,,,,,,,,,,,,,,,,,,,,,,,9 января,пт
10 января,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,10 января,сб
11 января,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,11 января,вс
12 января,пн,РЭ ВсОШ Экономика,,,,,,,,,,,,,,,,,,,,,,,,,,12 января,пн
13 января,вт,РЭ ВсОШ Биология,,,,,Пересдача Физ. П 16:00 4.7,,,,,,,,,,,,,,,,,,Пересдача Физ. 16:00 4.6,,,13 января,вт
14 января,ср,,,,,,,,,,Пересдача Физ. 18:00 3.8,,,,,Пересдача Физ 15:30 4.9,,,Пересдача Хим 16:00 4.2,,,Пересдача Хим 16:00 4.12,,Хим. П.К. 16:00 4.2,,,,14 января,ср
15 января,чт,РЭ ВсОШ Биология,Мат. П. 15:30 1.3,,,Математика 15:30 1.3,Пересдача Физ. У 16:00 4.7,,Пересдача Мат. П. У. 15:30 1.3,,,,,,,,,Пересдача Мат. П. 15:30 1.3,Пересдача Мат. 15:30 1.3,,,Пересдача Мат. 15:30 1.3,,Пересдача Мат. 15:30 1.3,"Пересдача Мат. П.15:30 1.3, Мат.У. 1.2.",,,15 января,чт
16 января,пт,Пробный ЕГЭ по биологии 16:00 ,,,,,,,,,,,Биол. П.К. 18:00 4.7,,,,,,,Пересдача Мат. П. 15:30 2.10,,Биол. П.К. 18:00 4.7,,Биол. П.К.  418 18:00 4.7,,,,16 января,пт
17 января,сб,РЭ ВсОШ Информатика,,,,,,,,,,,,,,,,,, Физ. 16:00 4.5,,,,,Пересдача Хим (522) 15:30  4.6,,,17 января,сб
18 января,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,18 января,вс
19 января,пн,РЭ ВсОШ Информатика,"Физика, 15:00, ауд. 5.7",,,Пересдача Ф. 16:00 5.6,Пересдача Мат. П. 15:30 2.10,,Пересдача Мат. У. 15:30 2.6,Пересдача Мат. П. 15:30 2.10,Химия. 16:00 4.12,,,,Пересдача Мат. П. 15:30 2.10,,,,,Химия. 16:00 4.12,,Пересдача Ф. 16:00 5.6,,,,,,19 января,пн
20 января,вт,РЭ ВсОШ История,,"Пересдача   Математика П,У16:00  2.10",,,,"Биология, 16:00, 4.2",Пересдача Физ. 16:00 4.1,"Рус. яз. 16:00, ауд. 2.8, Биология, 16:00, 4.2","Биология, 16:00, 4.13, ",,"Пересдача Мат.П, У 16:00 2.3",,"Рус. яз. 16:00, ауд. 2.8",Пересдача Ф.  16:00 4.9 ,"Пересдача Ф.  16:00 4.9 Биология, 16:00, 4.2","Биология, 16:00, 4.13",Пересда. Физ. 16:00 4.5,"Биология, 16:00, 4.13",,,,Пересда. Физ. 16:00 4.5,"Биология, 16:00, 4.2",,,20 января,вт
21 января,ср,РЭ ВсОШ История,,,,,,,,,,,,,,,,,,,,,,,,,,21 января,ср
22 января,чт,РЭ ВсОШ Химия,,,,"Пересдача, переводной Химия 15:30 4.8",Пересдача Мат.У. 15:30 2.10,,,Пересдача Мат. П. и У. 15:30 2.10,Пересдача Мат. П. 15:30 2.4,,,,Пересдача Мат.У. 15:30 2.10,Пересдача Мат.П 15:00 2.6,,,Пересдача Мат. 16:00 1.3,,,Пересдача Мат. 16:00 1.3,,Пересдача Мат. 16:00 1.3,,,,22 января,чт
23 января,пт,"РЭ ВсОШ Химия
Пробный ЕГЭ по физике 16:00 1.3, 3.6, 3.7, 3.9, 3.5 ",,Пересдача Химия 16:00 4.9,,,"Англ. 16:00, ауд. 3.20",Пересд. хим. 16:00 4.4,Пересдача Биол. 16:00 4.4,Пересдача Химия 16:00 4.2,"Мат. У, 16:00, 2.4 ",,,,Пересдача Химия 16:00 4.2,"Биология, 15:15, 4.5",Вечер ММФ НГУ В ФМШ 16:00 1.2,,,,,,,,,,,23 января,пт
24 января,сб,РЭ ВсОШ Русский язык,,Пересдача Физика 16:00 4.9,,,,,Пересдача Мат. 15:30 2.8 Пересдача Химия 15:30 4.8 ,Пересдача Физ. 16:00 4.4,,,Пересдача Химия 15:00 4.2,,,Пересдача Мат. У 15:30  2.6 ,,,,,,Пересдапча Хим. 16:00 4.1,,,Пересдача Хим (522) 15:30  4.6,,,24 января,сб
25 января,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,25 января,вс
26 января,пн,,,"Мат. У. 16:00, 2.10",,,,,,"Лит-ра, 15.30, ауд. 3.4",,"История, 15:30, 2.5",,"Физ. У, 18:00, 4.2","Лит-ра, 15.30, ауд. 3.4",,"История, 15:30, 2.5",,"Физика У, 16:00, 4.2",,,Пересдача Хим. 18:00 4.1,,,,,,26 января,пн
27 января,вт,,,,,,,,,"Рус. яз. 16.00, ауд. 3.4 (комиссия)", Пересдача Мат. 2.4 16:00,,,,,,,,,,,,,,,,,27 января,вт
28 января,,РАЗГОВОРЫ О ВАЖНОМ 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 января,ср,РЭ ВсОШ Обществознание,,,,,,,,,Пересдача Мат. 2.8 15:30,,Пересдача Химия (комиссия) 16:00 4.1,,,,,,,,,,,,,,,28 января,ср
30 января,чт,РЭ ВсОШ Обществознание,,"Физика (комиссия), 17:00, 4.5",,,Мат. пересд. комисс. 15.30 2.10,,,,,"Биология, 18:00, 4.13","Биология, 18:00, 4.13",Мат. пересд. комисс. 15.30 2.10,,,,,,,,"Физика (комиссия), 17:00, 4.5",,,,,,29 января,чт
31 января,пт,"РЭ ВсОШ Физика
Пробный ЕГЭ математика",,,,,,,,Химия (комиссия) 16:00 4.8,,,,,,Мат. пересдача комиссия 15:30 2.5,,,,,,,,,,,,30 января,пт
1 февраля,сб,РЭ ВсОШ Физика,ДЕНЬ САМОУПРАВЛЕНИЯ,,,,,,,,,,,,,,,,,,,,,,,,,31 января,сб
2 февраля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,1 февраля,вс
3 февраля,пн,РЭ ВсОШ Математика,,,,,,,,,,,,,,,,,,,,,,,,,,2 февраля,пн
4 февраля,вт,РЭ ВсОШ Математика,,,,,,,,,,,,,,,,,,,,,,,,,,3 февраля,вт
5 февраля,,РАЗГОВОРЫ О ВАЖНОМ 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 февраля,ср,РЭ ВсОШ Немецкий язык,,,,,,,,,,,,,,,,,,,,,,,,,,4 февраля,ср
7 февраля,чт,РЭ ВсОШ Немецкий язык,,,,,,,Пересдача Хим. 15:30 4.1,"Литература, комиссия, 15.30",,,,Пересдача Хим. (комиссия) 15:30 4.1,,,,,,,,,,,,,,5 февраля,чт
8 февраля,пт,РЭ ВсОШ Экология,,Генеральная уборка в общежитиях,,,,,,,,,,,,,,,,,,,,,,,,6 февраля,пт
9 февраля,сб,РЭ ВсОШ Экология,,,,Химия (комиссия) 16:00 4.8,,,,,,,,,,,,,,,,,,"Информатика, пересд. 12.30, 1.18",,,,7 февраля,сб
10 февраля,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,8 февраля,вс
11 февраля,пн,РЭ ВсОШ Литература,,,,,,,,,,,,,,,,,,,,,,,,,,9 февраля,пн
12 февраля,вт,РЭ ВсОШ Право,,,,,,,,,,,,,,,,,,,,,,,,,,10 февраля,вт
13 февраля,,РАЗГОВОРЫ О ВАЖНОМ 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
